,Productno,Product,Presentprice,Pastprice,Offer,Rating
125, 126, Apple iPad Air 64 GB ROM 10.5 inch with Wi-Fi Only (Spa...," 41,990 INR"," 44,900 INR", 6% off,4.7
126, 127, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi Onl...," 25,900 INR"," 29,900 INR", 13% off,4.7
127, 128, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi On...," 32,900 INR"," 34,900 INR", 5% off,4.7
128, 129, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi On...," 33,900 INR"," 35,200 INR", 3% off,4.7
129, 130, Apple iPad Air 64 GB ROM 10.5 inch with Wi-Fi Only (Sil...," 44,900 INR", one INR, None,4.7
130, 131, Apple iPad Air 256 GB ROM 10.5 inch with Wi-Fi Only (Sp...," 54,900 INR"," 58,900 INR", 6% off,4.7
131, 132, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi+4G...," 46,900 INR"," 48,900 INR", 4% off,4.7
132, 133, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi On...," 32,900 INR"," 34,900 INR", 5% off,4.7
133, 134, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi+4G...," 46,900 INR"," 48,900 INR", 4% off,4.7
134, 135, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi+4G...," 46,900 INR"," 48,900 INR", 4% off,4.7
135, 136, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi+4G ...," 38,900 INR"," 40,900 INR", 4% off,4.7
136, 137, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi O...," 46,900 INR"," 48,900 INR", 4% off,4.7
137, 138, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi+4...," 54,900 INR"," 59,900 INR", 8% off,4.7
138, 139, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi+4G ...," 38,900 INR"," 40,900 INR", 4% off,4.7
139, 140, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G...," 43,900 INR"," 45,900 INR", 4% off,4.7
140, 141, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G...," 43,900 INR"," 45,900 INR", 4% off,4.7
141, 142, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi+4...," 54,900 INR"," 59,900 INR", 8% off,4.7
142, 143, Apple iPad Air 256 GB ROM 10.5 inch with Wi-Fi Only (Si...," 56,900 INR"," 58,900 INR", 3% off,4.7
143, 144, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi O...," 46,900 INR"," 48,900 INR", 4% off,4.7
144, 145, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi+4...," 54,900 INR"," 59,900 INR", 8% off,4.7
145, 146, Apple iPad Air 64 GB ROM 10.5 inch with Wi-Fi Only (Gol...," 44,900 INR", one INR, None,4.7
146, 147, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G...," 43,900 INR"," 45,900 INR", 4% off,4.7
147, 148, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 256 GB RO...," 94,900 INR", one INR, None,4.8
148, 149, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi O...," 46,900 INR"," 48,900 INR", 4% off,4.7
149, 150, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 512 GB RO...," 98,900 INR", one INR, None,4.8
150, 151, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi+4G ...," 38,900 INR"," 40,900 INR", 4% off,4.7
151, 152, Apple iPad Pro 2020 (4th Generation) 6 GB RAM 512 GB RO...," 1,30,900 INR", one INR, None,4.8
152, 153, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 1 TB ROM ...," 1,16,900 INR", one INR, None,4.8
153, 154, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 512 GB RO...," 98,900 INR", one INR, None,4.8
154, 155, Apple iPad Pro 2020 (4th Generation) 6 GB RAM 512 GB RO...," 1,30,900 INR", one INR, None,4.8
155, 156, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 512 GB RO...," 1,12,900 INR", one INR, None,4.8
156, 157, Apple iPad Pro 2020 (4th Generation) 6 GB RAM 1 TB ROM ...," 1,48,900 INR", one INR, None,4.8
157, 158, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 512 GB RO...," 1,12,900 INR", one INR, None,4.8
158, 159, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 1 TB ROM ...," 1,30,900 INR", one INR, None,4.8
159, 160, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 1 TB ROM ...," 1,16,900 INR", one INR, None,4.8
160, 161, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi Onl...," 25,900 INR"," 29,900 INR", 13% off,4.7
